"filename", "language", "JavaScript", "JSON", "wxml", "Less", "CSS", "comment", "blank", "total"
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\icon\icon.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 2, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\index.wxss", "CSS", 0, 0, 0, 0, 2, 4, 3, 9
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\loading\loading.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\msg\msg.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\navigation-bar\navigation-bar.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.json", "JSON", 0, 7, 0, 0, 0, 0, 1, 8
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\searchbar\searchbar.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.json", "JSON", 0, 4, 0, 0, 0, 0, 1, 5
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxml", "wxml", 0, 0, 1, 0, 0, 0, 1, 2
"e:\毕业设计相关\果帕雅微信小程序\miniprogram_npm\weui-miniprogram\slideview\slideview.wxss", "CSS", 0, 0, 0, 0, 1, 0, 2, 3
